cell_id,core,nuance,micro,tier,quota_perception,quota_sft,quota_dpo,clinical_priority,edge_case_category
1,Happy,Excited,Energetic,C,100,20,20,LOW,sarcasm_common
2,Happy,Excited,Curious,B,150,45,40,LOW,sarcasm_common
3,Happy,Excited,Stimulated,C,100,20,20,LOW,sarcasm_common
4,Happy,Excited,Playful,B,150,45,40,LOW,sarcasm_common
5,Happy,Excited,Inspired,C,100,20,20,LOW,sarcasm_common
6,Happy,Excited,Cheerful,C,100,20,20,LOW,sarcasm_common
7,Happy,Interested,Engaged,A,200,60,55,LOW,
8,Happy,Interested,Intrigued,B,150,45,40,LOW,
9,Happy,Interested,Focused,B,150,45,40,LOW,
10,Happy,Interested,Attentive,B,150,45,40,LOW,
11,Happy,Interested,Curious,A,200,60,55,LOW,
12,Happy,Interested,Involved,B,150,45,40,LOW,
13,Happy,Energetic,Driven,B,150,45,40,LOW,
14,Happy,Energetic,Lively,B,150,45,40,LOW,
15,Happy,Energetic,Motivated,B,150,45,40,LOW,
16,Happy,Energetic,Active,B,150,45,40,LOW,
17,Happy,Energetic,Vibrant,B,150,45,40,LOW,
18,Happy,Energetic,Charged,B,150,45,40,LOW,
19,Happy,Playful,Fun,C,100,20,20,LOW,sarcasm_common
20,Happy,Playful,Lighthearted,C,100,20,20,LOW,sarcasm_common
21,Happy,Playful,Amused,C,100,20,20,LOW,sarcasm_common
22,Happy,Playful,Silly,C,100,20,20,LOW,sarcasm_common
23,Happy,Playful,Cheerful,B,150,45,40,LOW,sarcasm_common
24,Happy,Playful,Jovial,C,100,20,20,LOW,sarcasm_common
25,Happy,Creative,Imaginative,B,150,45,40,LOW,
26,Happy,Creative,Inventive,B,150,45,40,LOW,
27,Happy,Creative,Expressive,B,150,45,40,LOW,
28,Happy,Creative,Artistic,B,150,45,40,LOW,
29,Happy,Creative,Visionary,B,150,45,40,LOW,
30,Happy,Creative,Experimental,B,150,45,40,LOW,
31,Happy,Optimistic,Hopeful,A,200,60,55,LOW,
32,Happy,Optimistic,Upbeat,B,150,45,40,LOW,
33,Happy,Optimistic,Confident,B,150,45,40,LOW,
34,Happy,Optimistic,Expectant,B,150,45,40,LOW,
35,Happy,Optimistic,Positive,A,200,60,55,LOW,
36,Happy,Optimistic,Forward-looking,B,150,45,40,LOW,
37,Strong,Confident,Assured,A,200,60,55,LOW,
38,Strong,Confident,Secure,B,150,45,40,LOW,
39,Strong,Confident,Capable,A,200,60,55,LOW,
40,Strong,Confident,Bold,B,150,45,40,LOW,
41,Strong,Confident,Competent,B,150,45,40,LOW,
42,Strong,Confident,Self-reliant,B,150,45,40,LOW,
43,Strong,Proud,Accomplished,C,100,20,20,LOW,
44,Strong,Proud,Honored,C,100,20,20,LOW,
